setname,train_size,epochs,net_number,set_size,err
test,8000,250,0,all,0.19462264150943398
test,8000,250,0,1,0.0
test,8000,250,0,2,0.10037735849056606
test,8000,250,0,4,0.2867924528301887
test,8000,250,0,8,0.39132075471698113
test,8000,250,1,all,0.1995283018867925
test,8000,250,1,1,0.0011320754716981352
test,8000,250,1,2,0.10452830188679241
test,8000,250,1,4,0.2958490566037736
test,8000,250,1,8,0.3966037735849056
test,8000,250,2,all,0.19650943396226417
test,8000,250,2,1,0.0007547169811320531
test,8000,250,2,2,0.10226415094339625
test,8000,250,2,4,0.2890566037735849
test,8000,250,2,8,0.3939622641509434
test,8000,250,3,all,0.1991509433962264
test,8000,250,3,1,0.0
test,8000,250,3,2,0.09999999999999998
test,8000,250,3,4,0.3026415094339623
test,8000,250,3,8,0.3939622641509434
test,8000,250,4,all,0.1974528301886792
test,8000,250,4,1,0.0
test,8000,250,4,2,0.10679245283018868
test,8000,250,4,4,0.28981132075471694
test,8000,250,4,8,0.3932075471698113
test,12800,250,0,all,0.1754716981132075
test,12800,250,0,1,0.00037735849056608206
test,12800,250,0,2,0.06339622641509435
test,12800,250,0,4,0.250188679245283
test,12800,250,0,8,0.38792452830188684
test,12800,250,1,all,0.17339622641509433
test,12800,250,1,1,0.0
test,12800,250,1,2,0.06000000000000005
test,12800,250,1,4,0.25735849056603777
test,12800,250,1,8,0.37622641509433963
test,12800,250,2,all,0.17339622641509433
test,12800,250,2,1,0.0
test,12800,250,2,2,0.06452830188679248
test,12800,250,2,4,0.24716981132075466
test,12800,250,2,8,0.3818867924528302
test,12800,250,3,all,0.16915094339622638
test,12800,250,3,1,0.0
test,12800,250,3,2,0.05660377358490565
test,12800,250,3,4,0.24037735849056607
test,12800,250,3,8,0.3796226415094339
test,12800,250,4,all,0.1707547169811321
test,12800,250,4,1,0.0
test,12800,250,4,2,0.06603773584905659
test,12800,250,4,4,0.24113207547169813
test,12800,250,4,8,0.37584905660377355
