,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
129,alexnet,train_big_set_size,2,RVvRHGV,6,present,0.9833333333333333,,,
130,alexnet,train_big_set_size,2,RVvRHGV,8,present,0.9833333333333333,,,
131,alexnet,train_big_set_size,2,RVvRHGV,12,present,0.95,,,
132,alexnet,train_big_set_size,2,RVvRHGV,18,present,0.85,,,
133,alexnet,train_big_set_size,2,RVvRHGV,1,absent,1.0,,,
134,alexnet,train_big_set_size,2,RVvRHGV,2,absent,1.0,,,
135,alexnet,train_big_set_size,2,RVvRHGV,4,absent,1.0,,,
136,alexnet,train_big_set_size,2,RVvRHGV,6,absent,1.0,,,
137,alexnet,train_big_set_size,2,RVvRHGV,8,absent,1.0,,,
138,alexnet,train_big_set_size,2,RVvRHGV,12,absent,1.0,,,
139,alexnet,train_big_set_size,2,RVvRHGV,18,absent,0.9333333333333333,,,
140,alexnet,train_big_set_size,2,RVvRHGV,1,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
141,alexnet,train_big_set_size,2,RVvRHGV,2,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
142,alexnet,train_big_set_size,2,RVvRHGV,4,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
143,alexnet,train_big_set_size,2,RVvRHGV,6,both,0.9916666666666667,0.9915254237288136,0.01639344262295082,4.522492231625423
144,alexnet,train_big_set_size,2,RVvRHGV,8,both,0.9916666666666667,0.9915254237288136,0.01639344262295082,4.522492231625423
145,alexnet,train_big_set_size,2,RVvRHGV,12,both,0.975,0.9912280701754386,0.047619047619047616,4.043498278141849
146,alexnet,train_big_set_size,2,RVvRHGV,18,both,0.8916666666666667,0.9272727272727272,0.13846153846153847,2.543033408653252
147,alexnet,train_big_set_size,3,RVvRHGV,1,present,1.0,,,
148,alexnet,train_big_set_size,3,RVvRHGV,2,present,1.0,,,
149,alexnet,train_big_set_size,3,RVvRHGV,4,present,1.0,,,
150,alexnet,train_big_set_size,3,RVvRHGV,6,present,1.0,,,
151,alexnet,train_big_set_size,3,RVvRHGV,8,present,0.9833333333333333,,,
152,alexnet,train_big_set_size,3,RVvRHGV,12,present,0.9666666666666667,,,
153,alexnet,train_big_set_size,3,RVvRHGV,18,present,0.9166666666666666,,,
154,alexnet,train_big_set_size,3,RVvRHGV,1,absent,1.0,,,
155,alexnet,train_big_set_size,3,RVvRHGV,2,absent,1.0,,,
156,alexnet,train_big_set_size,3,RVvRHGV,4,absent,1.0,,,
157,alexnet,train_big_set_size,3,RVvRHGV,6,absent,1.0,,,
158,alexnet,train_big_set_size,3,RVvRHGV,8,absent,0.9666666666666667,,,
159,alexnet,train_big_set_size,3,RVvRHGV,12,absent,0.9166666666666666,,,
160,alexnet,train_big_set_size,3,RVvRHGV,18,absent,0.9166666666666666,,,
161,alexnet,train_big_set_size,3,RVvRHGV,1,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
