,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
85,alexnet,finetune,2,RVvRHGV,2,present,1.0,,,
86,alexnet,finetune,2,RVvRHGV,4,present,0.96,,,
87,alexnet,finetune,2,RVvRHGV,8,present,0.87,,,
88,alexnet,finetune,2,RVvRHGV,1,absent,1.0,,,
89,alexnet,finetune,2,RVvRHGV,2,absent,1.0,,,
90,alexnet,finetune,2,RVvRHGV,4,absent,1.0,,,
91,alexnet,finetune,2,RVvRHGV,8,absent,0.98,,,
92,alexnet,finetune,2,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
93,alexnet,finetune,2,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
94,alexnet,finetune,2,RVvRHGV,4,both,0.98,0.9947916666666666,0.038461538461538464,4.330506973452728
95,alexnet,finetune,2,RVvRHGV,8,both,0.925,0.9775280898876404,0.11711711711711711,3.1947020957386805
96,alexnet,finetune,3,RVvRHGV,1,present,1.0,,,
97,alexnet,finetune,3,RVvRHGV,2,present,1.0,,,
98,alexnet,finetune,3,RVvRHGV,4,present,0.95,,,
99,alexnet,finetune,3,RVvRHGV,8,present,0.86,,,
100,alexnet,finetune,3,RVvRHGV,1,absent,1.0,,,
101,alexnet,finetune,3,RVvRHGV,2,absent,1.0,,,
102,alexnet,finetune,3,RVvRHGV,4,absent,1.0,,,
103,alexnet,finetune,3,RVvRHGV,8,absent,1.0,,,
104,alexnet,finetune,3,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
105,alexnet,finetune,3,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
106,alexnet,finetune,3,RVvRHGV,4,both,0.975,0.9947368421052631,0.047619047619047616,4.226433920933847
107,alexnet,finetune,3,RVvRHGV,8,both,0.93,0.9941860465116279,0.12280701754385964,3.684308345004747
108,alexnet,finetune,0,2_v_5,1,present,0.95,,,
109,alexnet,finetune,0,2_v_5,2,present,0.69,,,
110,alexnet,finetune,0,2_v_5,4,present,0.48,,,
111,alexnet,finetune,0,2_v_5,8,present,0.43,,,
112,alexnet,finetune,0,2_v_5,1,absent,1.0,,,
113,alexnet,finetune,0,2_v_5,2,absent,0.88,,,
114,alexnet,finetune,0,2_v_5,4,absent,0.79,,,
115,alexnet,finetune,0,2_v_5,8,absent,0.75,,,
