,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
85,alexnet,finetune,2,RVvGV,2,present,1.0,,,
86,alexnet,finetune,2,RVvGV,4,present,0.99,,,
87,alexnet,finetune,2,RVvGV,8,present,0.9,,,
88,alexnet,finetune,2,RVvGV,1,absent,1.0,,,
89,alexnet,finetune,2,RVvGV,2,absent,1.0,,,
90,alexnet,finetune,2,RVvGV,4,absent,1.0,,,
91,alexnet,finetune,2,RVvGV,8,absent,1.0,,,
92,alexnet,finetune,2,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
93,alexnet,finetune,2,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
94,alexnet,finetune,2,RVvGV,4,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
95,alexnet,finetune,2,RVvGV,8,both,0.95,0.9944444444444445,0.09090909090909091,3.8743625497702503
96,alexnet,finetune,3,RVvGV,1,present,1.0,,,
97,alexnet,finetune,3,RVvGV,2,present,1.0,,,
98,alexnet,finetune,3,RVvGV,4,present,0.98,,,
99,alexnet,finetune,3,RVvGV,8,present,0.89,,,
100,alexnet,finetune,3,RVvGV,1,absent,1.0,,,
101,alexnet,finetune,3,RVvGV,2,absent,1.0,,,
102,alexnet,finetune,3,RVvGV,4,absent,1.0,,,
103,alexnet,finetune,3,RVvGV,8,absent,1.0,,,
104,alexnet,finetune,3,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
105,alexnet,finetune,3,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
106,alexnet,finetune,3,RVvGV,4,both,0.99,0.9948979591836735,0.0196078431372549,4.63075222854786
107,alexnet,finetune,3,RVvGV,8,both,0.945,0.9943820224719101,0.0990990990990991,3.821975475501591
108,alexnet,finetune,4,RVvGV,1,present,1.0,,,
109,alexnet,finetune,4,RVvGV,2,present,1.0,,,
110,alexnet,finetune,4,RVvGV,4,present,0.99,,,
111,alexnet,finetune,4,RVvGV,8,present,0.87,,,
112,alexnet,finetune,4,RVvGV,1,absent,1.0,,,
113,alexnet,finetune,4,RVvGV,2,absent,1.0,,,
114,alexnet,finetune,4,RVvGV,4,absent,1.0,,,
115,alexnet,finetune,4,RVvGV,8,absent,1.0,,,
116,alexnet,finetune,4,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
117,alexnet,finetune,4,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
118,alexnet,finetune,4,RVvGV,4,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
119,alexnet,finetune,4,RVvGV,8,both,0.935,0.9942528735632183,0.11504424778761062,3.7274331949373307
120,alexnet,finetune,0,RVvRHGV,1,present,1.0,,,
121,alexnet,finetune,0,RVvRHGV,2,present,1.0,,,
122,alexnet,finetune,0,RVvRHGV,4,present,0.96,,,
123,alexnet,finetune,0,RVvRHGV,8,present,0.86,,,
124,alexnet,finetune,0,RVvRHGV,1,absent,1.0,,,
125,alexnet,finetune,0,RVvRHGV,2,absent,1.0,,,
126,alexnet,finetune,0,RVvRHGV,4,absent,1.0,,,
127,alexnet,finetune,0,RVvRHGV,8,absent,0.96,,,
128,alexnet,finetune,0,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
129,alexnet,finetune,0,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
130,alexnet,finetune,0,RVvRHGV,4,both,0.98,0.9947916666666666,0.038461538461538464,4.330506973452728
131,alexnet,finetune,0,RVvRHGV,8,both,0.91,0.9555555555555556,0.12727272727272726,2.8406663427882517
132,alexnet,finetune,1,RVvRHGV,1,present,1.0,,,
133,alexnet,finetune,1,RVvRHGV,2,present,1.0,,,
134,alexnet,finetune,1,RVvRHGV,4,present,0.97,,,
135,alexnet,finetune,1,RVvRHGV,8,present,0.91,,,
136,alexnet,finetune,1,RVvRHGV,1,absent,1.0,,,
137,alexnet,finetune,1,RVvRHGV,2,absent,1.0,,,
138,alexnet,finetune,1,RVvRHGV,4,absent,1.0,,,
139,alexnet,finetune,1,RVvRHGV,8,absent,0.97,,,
140,alexnet,finetune,1,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
141,alexnet,finetune,1,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
142,alexnet,finetune,1,RVvRHGV,4,both,0.985,0.9948453608247423,0.02912621359223301,4.459072779073604
143,alexnet,finetune,1,RVvRHGV,8,both,0.94,0.9680851063829787,0.08490566037735849,3.2261772298907037
144,alexnet,finetune,2,RVvRHGV,1,present,1.0,,,
145,alexnet,finetune,2,RVvRHGV,2,present,1.0,,,
146,alexnet,finetune,2,RVvRHGV,4,present,0.96,,,
147,alexnet,finetune,2,RVvRHGV,8,present,0.87,,,
148,alexnet,finetune,2,RVvRHGV,1,absent,1.0,,,
149,alexnet,finetune,2,RVvRHGV,2,absent,1.0,,,
150,alexnet,finetune,2,RVvRHGV,4,absent,1.0,,,
151,alexnet,finetune,2,RVvRHGV,8,absent,0.98,,,
152,alexnet,finetune,2,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
153,alexnet,finetune,2,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
154,alexnet,finetune,2,RVvRHGV,4,both,0.98,0.9947916666666666,0.038461538461538464,4.330506973452728
155,alexnet,finetune,2,RVvRHGV,8,both,0.925,0.9775280898876404,0.11711711711711711,3.1947020957386805
156,alexnet,finetune,3,RVvRHGV,1,present,1.0,,,
157,alexnet,finetune,3,RVvRHGV,2,present,1.0,,,
158,alexnet,finetune,3,RVvRHGV,4,present,0.95,,,
159,alexnet,finetune,3,RVvRHGV,8,present,0.86,,,
160,alexnet,finetune,3,RVvRHGV,1,absent,1.0,,,
161,alexnet,finetune,3,RVvRHGV,2,absent,1.0,,,
162,alexnet,finetune,3,RVvRHGV,4,absent,1.0,,,
163,alexnet,finetune,3,RVvRHGV,8,absent,1.0,,,
164,alexnet,finetune,3,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
165,alexnet,finetune,3,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
166,alexnet,finetune,3,RVvRHGV,4,both,0.975,0.9947368421052631,0.047619047619047616,4.226433920933847
167,alexnet,finetune,3,RVvRHGV,8,both,0.93,0.9941860465116279,0.12280701754385964,3.684308345004747
168,alexnet,train,0,2_v_5,1,present,1.0,,,
169,alexnet,train,0,2_v_5,2,present,1.0,,,
170,alexnet,train,0,2_v_5,4,present,0.97,,,
171,alexnet,train,0,2_v_5,8,present,0.76,,,
172,alexnet,train,0,2_v_5,1,absent,1.0,,,
173,alexnet,train,0,2_v_5,2,absent,1.0,,,
174,alexnet,train,0,2_v_5,4,absent,0.98,,,
175,alexnet,train,0,2_v_5,8,absent,0.92,,,
176,alexnet,train,0,2_v_5,1,both,1.0,0.995,0.005,5.151658607097801
177,alexnet,train,0,2_v_5,2,both,1.0,0.995,0.005,5.151658607097801
178,alexnet,train,0,2_v_5,4,both,0.975,0.9797979797979798,0.0297029702970297,3.934771298826034
179,alexnet,train,0,2_v_5,8,both,0.84,0.9047619047619048,0.20689655172413793,2.126408538815177
180,alexnet,train,1,2_v_5,1,present,1.0,,,
181,alexnet,train,1,2_v_5,2,present,1.0,,,
182,alexnet,train,1,2_v_5,4,present,1.0,,,
183,alexnet,train,1,2_v_5,8,present,0.83,,,
184,alexnet,train,1,2_v_5,1,absent,1.0,,,
185,alexnet,train,1,2_v_5,2,absent,1.0,,,
186,alexnet,train,1,2_v_5,4,absent,0.98,,,
187,alexnet,train,1,2_v_5,8,absent,0.95,,,
188,alexnet,train,1,2_v_5,1,both,1.0,0.995,0.005,5.151658607097801
189,alexnet,train,1,2_v_5,2,both,1.0,0.995,0.005,5.151658607097801
190,alexnet,train,1,2_v_5,4,both,0.99,0.9803921568627451,0.00510204081632653,4.630752228547857
