,net_name,train_type,net_number,stimulus,target_condition,set_size,accuracy
96,alexnet,train_big_set_size,2,RVvRHGV,absent,12,1.0
97,alexnet,train_big_set_size,2,RVvRHGV,absent,18,0.9333333333333333
98,alexnet,train_big_set_size,3,RVvRHGV,present,1,1.0
99,alexnet,train_big_set_size,3,RVvRHGV,present,2,1.0
100,alexnet,train_big_set_size,3,RVvRHGV,present,4,1.0
101,alexnet,train_big_set_size,3,RVvRHGV,present,6,1.0
102,alexnet,train_big_set_size,3,RVvRHGV,present,8,0.9833333333333333
103,alexnet,train_big_set_size,3,RVvRHGV,present,12,0.9666666666666667
104,alexnet,train_big_set_size,3,RVvRHGV,present,18,0.9166666666666666
105,alexnet,train_big_set_size,3,RVvRHGV,absent,1,1.0
106,alexnet,train_big_set_size,3,RVvRHGV,absent,2,1.0
107,alexnet,train_big_set_size,3,RVvRHGV,absent,4,1.0
108,alexnet,train_big_set_size,3,RVvRHGV,absent,6,1.0
109,alexnet,train_big_set_size,3,RVvRHGV,absent,8,0.9666666666666667
110,alexnet,train_big_set_size,3,RVvRHGV,absent,12,0.9166666666666666
111,alexnet,train_big_set_size,3,RVvRHGV,absent,18,0.9166666666666666
