setname,train_size,epochs,net_number,set_size,err
test,3200,250,0,4,0.0022641509433962703
test,3200,250,0,8,0.009811320754717023
test,3200,250,1,all,0.0050000000000000044
test,3200,250,1,1,0.0
test,3200,250,1,2,0.0
test,3200,250,1,4,0.00452830188679243
test,3200,250,1,8,0.015471698113207588
test,3200,250,2,all,0.005471698113207579
test,3200,250,2,1,0.0
test,3200,250,2,2,0.0
test,3200,250,2,4,0.0022641509433962703
test,3200,250,2,8,0.019622641509433936
test,3200,250,3,all,0.004150943396226459
test,3200,250,3,1,0.0
test,3200,250,3,2,0.0
test,3200,250,3,4,0.0026415094339622414
test,3200,250,3,8,0.013962264150943371
test,3200,250,4,all,0.00452830188679243
test,3200,250,4,1,0.0
test,3200,250,4,2,0.0
test,3200,250,4,4,0.0026415094339622414
test,3200,250,4,8,0.015471698113207588
test,6400,250,0,all,0.0037735849056603765
test,6400,250,0,1,0.0
test,6400,250,0,2,0.0
test,6400,250,0,4,0.0022641509433962703
test,6400,250,0,8,0.012830188679245236
test,6400,250,1,all,0.002830188679245338
test,6400,250,1,1,0.0
test,6400,250,1,2,0.0
test,6400,250,1,4,0.0011320754716981352
test,6400,250,1,8,0.010188679245282994
test,6400,250,2,all,0.0013207547169811207
test,6400,250,2,1,0.0
test,6400,250,2,2,0.0
test,6400,250,2,4,0.00037735849056608206
test,6400,250,2,8,0.004905660377358512
test,6400,250,3,all,0.0025471698113207486
test,6400,250,3,1,0.0
test,6400,250,3,2,0.0
test,6400,250,3,4,0.0011320754716981352
test,6400,250,3,8,0.00905660377358486
test,6400,250,4,all,0.001981132075471681
test,6400,250,4,1,0.0
test,6400,250,4,2,0.0
test,6400,250,4,4,0.0011320754716981352
test,6400,250,4,8,0.0067924528301887
test,8000,250,0,all,0.0011320754716981352
test,8000,250,0,1,0.0
test,8000,250,0,2,0.0
test,8000,250,0,4,0.0007547169811320531
test,8000,250,0,8,0.0037735849056603765
test,8000,250,1,all,0.0013207547169811207
test,8000,250,1,1,0.0
test,8000,250,1,2,0.0
test,8000,250,1,4,0.0011320754716981352
test,8000,250,1,8,0.004150943396226459
test,8000,250,2,all,0.001226415094339628
test,8000,250,2,1,0.0
test,8000,250,2,2,0.0
test,8000,250,2,4,0.0015094339622641062
test,8000,250,2,8,0.0033962264150942945
test,8000,250,3,all,0.0007547169811320531
test,8000,250,3,1,0.0
test,8000,250,3,2,0.0
test,8000,250,3,4,0.0
test,8000,250,3,8,0.0030188679245283234
test,8000,250,4,all,0.002830188679245338
test,8000,250,4,1,0.0
test,8000,250,4,2,0.0
test,8000,250,4,4,0.0015094339622641062
test,8000,250,4,8,0.009811320754717023
test,12800,250,0,all,0.0004716981132075748
test,12800,250,0,1,0.0
test,12800,250,0,2,0.0
test,12800,250,0,4,0.00037735849056608206
test,12800,250,0,8,0.0015094339622641062
test,12800,250,1,all,0.00018867924528298552
test,12800,250,1,1,0.0
test,12800,250,1,2,0.0
test,12800,250,1,4,0.0
test,12800,250,1,8,0.0007547169811320531
test,12800,250,2,all,0.0014150943396226134
test,12800,250,2,1,0.0
test,12800,250,2,2,0.0
test,12800,250,2,4,0.00037735849056608206
test,12800,250,2,8,0.005283018867924483
test,12800,250,3,all,0.00037735849056608206
test,12800,250,3,1,0.0
test,12800,250,3,2,0.0
test,12800,250,3,4,0.0
test,12800,250,3,8,0.0015094339622641062
test,12800,250,4,all,0.0004716981132075748
test,12800,250,4,1,0.0
test,12800,250,4,2,0.0
test,12800,250,4,4,0.00037735849056608206
test,12800,250,4,8,0.0015094339622641062
