setname,train_size,epochs,net_number,set_size,err
test,3200,250,0,all,0.038679245283018915
test,3200,250,0,1,0.0
test,3200,250,0,2,0.0011320754716981352
test,3200,250,0,4,0.03396226415094339
test,3200,250,0,8,0.11962264150943391
test,3200,250,1,all,0.040000000000000036
test,3200,250,1,1,0.0
test,3200,250,1,2,0.0007547169811320531
test,3200,250,1,4,0.02754716981132077
test,3200,250,1,8,0.1316981132075472
test,3200,250,2,all,0.0404716981132075
test,3200,250,2,1,0.0
test,3200,250,2,2,0.0011320754716981352
test,3200,250,2,4,0.02490566037735853
test,3200,250,2,8,0.13584905660377355
test,3200,250,3,all,0.03877358490566041
test,3200,250,3,1,0.0
test,3200,250,3,2,0.0007547169811320531
test,3200,250,3,4,0.03132075471698115
test,3200,250,3,8,0.12301886792452832
test,3200,250,4,all,0.03830188679245283
test,3200,250,4,1,0.0
test,3200,250,4,2,0.0007547169811320531
test,3200,250,4,4,0.02943396226415096
test,3200,250,4,8,0.12301886792452832
test,6400,250,0,all,0.0304716981132076
test,6400,250,0,1,0.0
test,6400,250,0,2,0.0
test,6400,250,0,4,0.020000000000000018
test,6400,250,0,8,0.10188679245283017
test,6400,250,1,all,0.027358490566037785
test,6400,250,1,1,0.0
test,6400,250,1,2,0.0
test,6400,250,1,4,0.015094339622641506
test,6400,250,1,8,0.09433962264150941
test,6400,250,2,all,0.031037735849056558
test,6400,250,2,1,0.0
test,6400,250,2,2,0.0
test,6400,250,2,4,0.015094339622641506
test,6400,250,2,8,0.10905660377358495
test,6400,250,3,all,0.030283018867924505
test,6400,250,3,1,0.0
test,6400,250,3,2,0.0
test,6400,250,3,4,0.019245283018867965
test,6400,250,3,8,0.10188679245283017
test,6400,250,4,all,0.028962264150943384
test,6400,250,4,1,0.0
test,6400,250,4,2,0.0
test,6400,250,4,4,0.017358490566037776
test,6400,250,4,8,0.09849056603773587
test,8000,250,0,all,0.026037735849056554
test,8000,250,0,1,0.0
test,8000,250,0,2,0.0
test,8000,250,0,4,0.014339622641509453
test,8000,250,0,8,0.08981132075471698
test,8000,250,1,all,0.027924528301886742
test,8000,250,1,1,0.0
test,8000,250,1,2,0.0
test,8000,250,1,4,0.014716981132075424
test,8000,250,1,8,0.09698113207547165
test,8000,250,2,all,0.02650943396226413
test,8000,250,2,1,0.0
test,8000,250,2,2,0.0
test,8000,250,2,4,0.013207547169811318
test,8000,250,2,8,0.0928301886792453
test,8000,250,3,all,0.027735849056603756
test,8000,250,3,1,0.0
test,8000,250,3,2,0.0
test,8000,250,3,4,0.012075471698113183
test,8000,250,3,8,0.09886792452830184
test,8000,250,4,all,0.025660377358490583
test,8000,250,4,1,0.0
test,8000,250,4,2,0.0
test,8000,250,4,4,0.012075471698113183
test,8000,250,4,8,0.09056603773584904
test,12800,250,0,all,0.020943396226415056
test,12800,250,0,1,0.0
test,12800,250,0,2,0.0
test,12800,250,0,4,0.0067924528301887
test,12800,250,0,8,0.07698113207547175
test,12800,250,1,all,0.022830188679245245
test,12800,250,1,1,0.0
test,12800,250,1,2,0.0
test,12800,250,1,4,0.009811320754717023
test,12800,250,1,8,0.08150943396226418
test,12800,250,2,all,0.022264150943396177
test,12800,250,2,1,0.0
test,12800,250,2,2,0.0
test,12800,250,2,4,0.010566037735849076
test,12800,250,2,8,0.07849056603773585
test,12800,250,3,all,0.022452830188679274
test,12800,250,3,1,0.0
test,12800,250,3,2,0.0
test,12800,250,3,4,0.010566037735849076
test,12800,250,3,8,0.0792452830188679
test,12800,250,4,all,0.021603773584905617
test,12800,250,4,1,0.0
test,12800,250,4,2,0.0
test,12800,250,4,4,0.010943396226415048
test,12800,250,4,8,0.07547169811320753
